sample_index,absolute_token_position,template_id,template_metadata.prompt_framing,template_metadata.output_format,task,task_metadata.task_family,task_metadata.difficulty,task_metadata.domain,task_metadata.complexity,task_metadata.planning_type,task_metadata.stakes,task_metadata.agency,quantity,quantity_text,base_value,base_unit,unit_variant,number_format,value,value_text,unit,source_folder,time_horizon_months,source_sample_count,PLS1,PLS2,PLS3,reconstruction_residual_rms
1838,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,4,years,original,numeric,4,4,years,plain_long,48.0,48,24.678712926614036,-20.640972682710498,0.03511042143403992,0.16870059043345156
2102,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,4,years,original,numeric,4,4,years,plain_long,48.0,48,24.988035301982435,-22.792429344320688,2.66529559101748,0.1635498726216147
2542,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,4,years,original,numeric,4,4,years,plain_long,48.0,48,24.070022888943896,-22.00208913586215,-1.5453049438497426,0.16601373341540684
3444,-1,direct_help,N/A,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,4,years,original,numeric,4,4,years,plain_long,48.0,48,33.4825499671477,-6.426056271888483,5.899598115395757,0.1697193440564585
3752,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,4,years,original,numeric,4,4,years,plain_long,48.0,48,24.657884903900626,-19.108243429110193,0.6421777915885709,0.19022683487954273
126,-1,task_available_time,<averaged>,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,24.84877520939935,-22.581981473729993,-3.4012425970289355,0.2826202779399464
1050,-1,task_available_time,<averaged>,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,28.845448961527328,15.927562041068075,16.68016824558605,0.33478521378670184
1270,-1,task_available_time,<averaged>,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,32.37017192243611,17.816579351238083,35.72145282547359,0.3230880415802625
1490,-1,task_available_time,<averaged>,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,42.066580373038825,-0.3755506421602396,1.2143945867481367,0.3065159893822577
1622,-1,task_available_time,<averaged>,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,45.16373652424528,3.826233295211456,13.142200050021,0.39437305314163357
1842,-1,task_available_time,<averaged>,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,27.448352150630743,-7.063679779090678,5.082456379941498,0.33861546611075766
2106,-1,task_available_time,<averaged>,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,24.17976414597607,-21.237987948561255,19.46888549338037,0.34043543227939965
2546,-1,task_available_time,<averaged>,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,17.831325257406306,13.856794303577399,-9.655623831707622,0.27239220395554276
3448,-1,task_available_time,<averaged>,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,24.380853815377794,-2.382180268521759,20.31434569654272,0.3447232233997747
3756,-1,task_available_time,<averaged>,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,5,years,original,numeric,5,5,years,nof_conv,60.0,36,13.618059847087494,-1.4575685247169283,-5.613214622403125,0.3062940562813349
126,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,30.264556782192802,-28.713450713857814,-19.727707356085265,0.21772102119762535
1050,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,37.301343301128796,0.389089499115589,-11.626620862528467,0.19918089359360333
1270,-1,direct_help,N/A,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,44.63870880483943,11.074256954997228,8.324110583430095,0.18500369119774251
1490,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,34.3068610152983,-19.756457982494908,-20.612947574753182,0.19616092420225853
1622,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,39.490055961864705,-7.731105797391642,-21.28392587596239,0.19414307391741745
1842,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,30.13353288799571,-22.65927305447559,-19.455980756579457,0.19533628427319719
2106,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,27.618421838244792,-30.745426559534845,-14.703268243474534,0.2057069296789694
2546,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,22.226420450660168,-14.883086169602233,-26.18729340712696,0.23268079514023537
3448,-1,direct_help,N/A,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,38.07045582100806,-9.013145923575657,-6.846534855896689,0.2140508976479657
3756,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,5,years,original,numeric,5,5,years,plain,60.0,48,24.393374139223823,-21.748539582737042,-18.438963651308217,0.24057607809224826
126,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,29.73057320566153,-17.35132242590327,-3.6469016267042247,0.17095314945873907
1050,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,32.054403888347295,-2.797415477001012,1.3100509235102011,0.18358606533386398
1270,-1,direct_help,N/A,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,38.022746944166826,4.496028796448677,13.438132961600333,0.15977727395560473
1490,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,30.301151367720873,-13.156757403921656,-3.980425799805046,0.1718078783105958
1622,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,33.71164826353483,-6.358355833654573,-4.833120982060114,0.15495488846400887
1842,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,25.635023298276334,-18.155392644981905,-1.3976040900317903,0.16528499696192564
2106,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,26.202239093181863,-20.377246601148194,0.8473258139105491,0.15979181151016855
2546,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,24.61054208905833,-16.368488833706305,-4.874888432652609,0.1629856773420147
3448,-1,direct_help,N/A,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,34.67197486163649,-4.556091392000623,4.895633660082498,0.1670150137138047
3756,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,5,years,original,numeric,5,5,years,plain_long,60.0,48,25.42402504696438,-16.221971872246723,-1.6817009755338597,0.18762373921263417
130,-1,task_available_time,<averaged>,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,10,years,original,numeric,10,10,years,nof_conv,120.0,36,26.58026367271832,-7.189480726768917,-10.49123089511065,0.2701039691552989
946,-1,task_available_time,<averaged>,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,nof_conv,120.0,72,32.43978513850095,23.711869026470744,18.614426250066828,0.3253209125636823
1122,-1,task_available_time,<averaged>,N/A,design and build a city resilient to natural disasters,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,1,decades,original,numeric,1,1,decade,nof_conv,120.0,36,39.934482694901114,8.486448942540829,34.51186426219372,0.31729686231751636
1210,-1,task_available_time,<averaged>,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,nof_conv,120.0,72,33.09826520797026,23.679045806027595,36.46544716783307,0.3121991889989112
1342,-1,task_available_time,<averaged>,N/A,design infrastructure resilient to climate change,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,1,decades,original,numeric,1,1,decade,nof_conv,120.0,36,30.387316895346178,8.228791773196246,32.01579887572937,0.3258983089002228
1386,-1,task_available_time,<averaged>,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,nof_conv,120.0,72,47.72847900741124,0.9111278991705122,2.4862215806523085,0.31088532262239826
1518,-1,task_available_time,<averaged>,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,nof_conv,120.0,72,48.47093759666307,14.394754119947244,16.269910551997608,0.38085783330147605
1738,-1,task_available_time,<averaged>,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,nof_conv,120.0,72,29.583285349296666,8.485572512573363,4.214327175684161,0.3153058384677038
1914,-1,task_available_time,<averaged>,N/A,establish a self-sustaining human settlement on another planet,civilization_survival,very_high,civilization,very_high,strategic,existential,civilization,N/A,N/A,1,decades,original,numeric,1,1,decade,nof_conv,120.0,36,33.967719519160866,14.705701501507939,48.85482047215933,0.32568350759550435
2002,-1,task_available_time,<averaged>,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,nof_conv,120.0,72,28.767415649600842,-11.07437562417168,17.53496126545331,0.32563868623281056
2550,-1,task_available_time,<averaged>,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,10,years,original,numeric,10,10,years,nof_conv,120.0,36,15.36528151036522,40.43200308930754,-18.221147183968657,0.2853864798884271
3388,-1,task_available_time,<averaged>,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,nof_conv,120.0,72,26.400452806684573,3.6009757158618823,21.94387417017006,0.3360306280644787
3760,-1,task_available_time,<averaged>,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,10,years,original,numeric,10,10,years,nof_conv,120.0,36,13.106823288598402,10.399489031880849,-10.209662756562476,0.3063908136626097
130,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,10,years,original,numeric,10,10,years,plain,120.0,48,31.839627007608204,-16.479024856568756,-24.9053280234246,0.20830824744229273
946,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain,120.0,96,39.78343069440581,6.816500572983896,-10.092825186279642,0.1994735659365508
1122,-1,direct_help,N/A,N/A,design and build a city resilient to natural disasters,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,1,decades,original,numeric,1,1,decade,plain,120.0,48,41.50478352730578,-9.647495570087006,8.515583321886147,0.18247824994640074
1210,-1,direct_help,N/A,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain,120.0,96,45.03857517807881,14.497740720407462,8.68062020715942,0.18523002315979037
1342,-1,direct_help,N/A,N/A,design infrastructure resilient to climate change,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,1,decades,original,numeric,1,1,decade,plain,120.0,48,34.94301650673347,-9.905606545413464,2.6880620003529274,0.20175194675319594
1386,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain,120.0,96,37.699219276132744,-17.250147059158646,-18.65485779237211,0.20124793915730504
1518,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain,120.0,96,42.36784141825276,-2.109349085085912,-19.127502569152714,0.18987736471106176
1738,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain,120.0,96,32.4750488348239,-16.21828736511765,-19.31687054891116,0.19535820727903133
1914,-1,direct_help,N/A,N/A,establish a self-sustaining human settlement on another planet,civilization_survival,very_high,civilization,very_high,strategic,existential,civilization,N/A,N/A,1,decades,original,numeric,1,1,decade,plain,120.0,48,45.230898715459325,17.00637439117865,12.852944637225423,0.20400336195632224
2002,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain,120.0,96,30.01856638452731,-24.231948366350696,-14.655293665118462,0.20339265963485315
2550,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,10,years,original,numeric,10,10,years,plain,120.0,48,22.21722198741284,-0.49758117205348196,-30.894350077131264,0.2305992425272248
3388,-1,direct_help,N/A,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain,120.0,96,39.126015282240616,-4.574176369659587,-5.169243111262484,0.21463647839088484
3760,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,10,years,original,numeric,10,10,years,plain,120.0,48,25.439801624817736,-12.077358674431057,-23.463591714117207,0.23136780080486338
130,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,10,years,original,numeric,10,10,years,plain_long,120.0,48,31.9555890855664,-10.329918570324836,-6.654330674100244,0.16493638709891903
946,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain_long,120.0,96,34.66749100278487,1.5719914544245426,1.6172707614524464,0.18531139911741473
1122,-1,direct_help,N/A,N/A,design and build a city resilient to natural disasters,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,1,decades,original,numeric,1,1,decade,plain_long,120.0,48,36.12499016651845,-6.378511655477139,12.860436965254454,0.15004316406751203
1210,-1,direct_help,N/A,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain_long,120.0,96,39.056638318375434,7.099619089883695,13.735882877935255,0.16011383974110027
1342,-1,direct_help,N/A,N/A,design infrastructure resilient to climate change,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,1,decades,original,numeric,1,1,decade,plain_long,120.0,48,33.09360074727863,-5.0884883120482645,9.727558311094494,0.1668867617635093
1386,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain_long,120.0,96,33.09032366325031,-10.532995669720947,-3.073163251429126,0.1767933779094464
1518,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain_long,120.0,96,36.409022249845535,-2.128713196679614,-3.9658718834456392,0.15446999657108285
1738,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain_long,120.0,96,27.700262246406368,-14.08661309776184,-1.6012286033838325,0.16575023580147077
1914,-1,direct_help,N/A,N/A,establish a self-sustaining human settlement on another planet,civilization_survival,very_high,civilization,very_high,strategic,existential,civilization,N/A,N/A,1,decades,original,numeric,1,1,decade,plain_long,120.0,48,40.25567077367184,9.683191206377668,16.059979454511087,0.1631092692007672
2002,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain_long,120.0,96,28.204484976326928,-16.47669554451195,0.6680804396299709,0.15979250150238392
2550,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,10,years,original,numeric,10,10,years,plain_long,120.0,48,25.972024208776453,-8.018526349850559,-8.389287241177522,0.16005878924524927
3388,-1,direct_help,N/A,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,<averaged>,<averaged>,original,numeric,1,1,decade,plain_long,120.0,96,36.26016046808701,-1.5259225758466424,5.788092563777927,0.16774433606643815
3760,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,10,years,original,numeric,10,10,years,plain_long,120.0,48,27.015396531868557,-10.72147127173158,-5.051190487985894,0.18147771130645268
134,-1,task_available_time,<averaged>,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,20,years,original,numeric,20,20,years,nof_conv,240.0,36,25.551172624256964,13.188420513675226,-19.691886982723464,0.25460023721741853
950,-1,task_available_time,<averaged>,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,nof_conv,240.0,72,35.42779552154792,33.29207519580738,14.349274313539897,0.309705576770505
1126,-1,task_available_time,<averaged>,N/A,design and build a city resilient to natural disasters,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,2,decades,original,numeric,2,2,decades,nof_conv,240.0,36,42.13304974462592,16.411096846076255,32.60984159513951,0.3062084600541504
1214,-1,task_available_time,<averaged>,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,nof_conv,240.0,72,34.737377963226116,28.66840654063496,32.950387828070326,0.3027474146669757
1346,-1,task_available_time,<averaged>,N/A,design infrastructure resilient to climate change,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,2,decades,original,numeric,2,2,decades,nof_conv,240.0,36,33.530252967470105,16.876356232968455,29.564366938386588,0.312383716925696
1390,-1,task_available_time,<averaged>,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,nof_conv,240.0,72,50.53608267220648,9.151542950793202,-0.008090809492926843,0.300068834491352
1522,-1,task_available_time,<averaged>,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,nof_conv,240.0,72,49.56856852400196,26.10124133234214,13.806111058902477,0.3586099940737773
1742,-1,task_available_time,<averaged>,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,nof_conv,240.0,72,30.355520250594342,26.968094115166604,-0.9069387976943943,0.2908457622438657
1918,-1,task_available_time,<averaged>,N/A,establish a self-sustaining human settlement on another planet,civilization_survival,very_high,civilization,very_high,strategic,existential,civilization,N/A,N/A,2,decades,original,numeric,2,2,decades,nof_conv,240.0,36,36.97368094429608,13.490617995733292,45.43472318022149,0.32102323601428
2006,-1,task_available_time,<averaged>,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,nof_conv,240.0,72,30.757731280457076,7.890832157864285,9.367733462848097,0.30060712060840294
2554,-1,task_available_time,<averaged>,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,20,years,original,numeric,20,20,years,nof_conv,240.0,36,12.366289608840606,58.42186689521576,-23.08519182744578,0.3068286285155097
3392,-1,task_available_time,<averaged>,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,nof_conv,240.0,72,29.057856742297446,10.492131321150234,16.895113255894056,0.3218600458863037
3764,-1,task_available_time,<averaged>,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,20,years,original,numeric,20,20,years,nof_conv,240.0,36,12.29092044816659,19.71283903958889,-15.465646632633579,0.3051400278924613
134,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,20,years,original,numeric,20,20,years,plain,240.0,48,31.175034915141627,0.3791772739051611,-32.63400832617158,0.20493745494029866
950,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,plain,240.0,96,42.067854156008515,15.033157627058037,-12.61300921296841,0.19726814029682435
1126,-1,direct_help,N/A,N/A,design and build a city resilient to natural disasters,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,2,decades,original,numeric,2,2,decades,plain,240.0,48,44.40106959190845,-5.413117065519552,5.733801826805835,0.19060762524294161
1214,-1,direct_help,N/A,N/A,design and preserve a knowledge archive for future civilizations,knowledge_archive,high,knowledge_preservation,high,strategic,high,civilization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,plain,240.0,96,46.619412952159834,17.675602436130745,5.467558890442409,0.18904168118236167
1346,-1,direct_help,N/A,N/A,design infrastructure resilient to climate change,resilient_infrastructure,very_high,infrastructure,very_high,systems,high,organization,N/A,N/A,2,decades,original,numeric,2,2,decades,plain,240.0,48,38.47553588893195,-4.682425471177118,0.032549297937044364,0.20889953877088036
1390,-1,direct_help,N/A,N/A,develop a long-term personal investment strategy,investment_strategy,high,business,high,strategic,high,individual,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,plain,240.0,96,40.09677038108449,-11.452012037903382,-20.729962380344606,0.20168885066212028
1522,-1,direct_help,N/A,N/A,develop a long-term plan for safely containing hazardous materials,hazard_containment,high,safety,high,risk_management,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,plain,240.0,96,43.36553405900774,6.6977584471950395,-21.908496165961648,0.18327974840876635
1742,-1,direct_help,N/A,N/A,develop a process to preserve an organization's records for future teams,knowledge_archive,medium,knowledge_preservation,medium,systems,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,plain,240.0,96,34.89835237959179,-5.35047345723792,-23.033511663935084,0.1892325848031623
1918,-1,direct_help,N/A,N/A,establish a self-sustaining human settlement on another planet,civilization_survival,very_high,civilization,very_high,strategic,existential,civilization,N/A,N/A,2,decades,original,numeric,2,2,decades,plain,240.0,48,48.354242198754655,13.733830575118104,10.108270905953287,0.20404295814899864
2006,-1,direct_help,N/A,N/A,expand a local business to new markets,business_expansion,high,business,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,plain,240.0,96,32.02502004583513,-12.42254859583274,-19.372299890022077,0.19639180299776035
2554,-1,direct_help,N/A,N/A,organize a wedding for a friend,event_planning,high,personal_lifestyle,high,coordination,medium,multi_agent,N/A,N/A,20,years,original,numeric,20,20,years,plain,240.0,48,20.291262215003123,17.615714054793695,-35.621973636499305,0.24630400399186306
3392,-1,direct_help,N/A,N/A,restore a degraded ecosystem to long-term stability,ecosystem_restoration,very_high,safety,very_high,systems,high,multi_agent,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,plain,240.0,96,40.90425914408044,-0.16524288248682684,-9.470427247210768,0.21253248786593334
3764,-1,direct_help,N/A,N/A,write a novel,creative_writing,high,creative,high,creative,medium,individual,N/A,N/A,20,years,original,numeric,20,20,years,plain,240.0,48,25.553054314363735,1.0446267492083359,-30.09280949278521,0.22849865160554322
134,-1,direct_help,N/A,N/A,build proficiency in a new language,skill_learning,medium,personal_lifestyle,medium,learning,medium,individual,N/A,N/A,20,years,original,numeric,20,20,years,plain_long,240.0,48,33.30436547330665,-0.24092014490494668,-12.160946537510126,0.16150351212392908
950,-1,direct_help,N/A,N/A,design an institution for long-term stability and effectiveness,institution_design,high,civilization,high,strategic,high,organization,N/A,N/A,<averaged>,<averaged>,original,numeric,2,2,decades,plain_long,240.0,96,37.599995413116645,7.2381538052869825,-0.2665187641555522,0.18470464530753683
